Rank,Name,Country,Region,Affiliation,Age,Height,Weight
1498,Daniel Brisebois,Canada,North America East,CrossFit Mascouche,32,,
1499,Grant Clark,United States,North America East,CrossFit Palm Harbor,27,,
1500,Logan Blackwell,United States,North America East,CrossFit Dog Fight,33,71 in,200 lb
1501,Kyler Dearden,United States,North America West,,29,73 in,195 lb
1502,Max Baggio,United Kingdom,Europe,CrossFit Marchon,27,,
1503,Matthew Taylor,United Kingdom,Europe,CrossFit L.U.,24,70 in,85 kg
1504,Muanda Elias,Angola,Africa,Serpa Pinto CrossFit,30,184 cm,87 kg
1505,Jon Moffitt,United States,North America West,Bear Canyon CrossFit,34,71 in,190 lb
1506,Alexandro Martins,Brazil,South America,,33,170 cm,82 kg
1507,Jason Carroll,United States,North America West,CrossFit Tustin,34,70 in,180 lb
1508,Mariusz Suchy,Poland,Europe,,34,182 cm,96 kg
1509,Kyle Cross,United States,North America East,,31,72 in,215 lb
1510,Chateau Leo,France,Europe,CrossFit Happy Hearts,32,181 cm,92 kg
1511,Tom Marais,Australia,Oceania,CrossFit Currumbin,25,193 cm,98 kg
1512,Mike Krohn,Denmark,Europe,CrossFit Siam,32,184 cm,95 kg
1513,Halldor Karlsson,Iceland,Europe,CrossFit Reykjavík,26,176 cm,80 kg
1514,Kieran Smith,United Kingdom,Europe,CrossFit Skirmish,26,183 cm,86 kg
1515,Hussain Al Bahbahani,Kuwait,Asia,,30,180 cm,89 kg
1516,Michael Alonzo,United States,North America West,CrossFit Hoka Hey,26,,
1517,Wyatt Mell,United States,North America East,CrossFit Vertex,27,,
1518,Derek Lakowske,United States,North America West,CrossFit ATR,27,,
1519,Jonathan Meisel,Sweden,Europe,Fysiken CrossFit,23,168 cm,79 kg
1520,Carlos A. Villafañe,United States,North America East,,29,,
1521,Vlad Timakov,Spain,Europe,CrossFit 4 Friends,28,,
1522,Jordan Calverley,United States,North America West,CrossFit Edina,31,,
1522,Christopher Szymanski,United States,North America East,CrossFit DC,32,66 in,182 lb
1524,Jared Holland,United States,North America East,CrossFit East Nashville,25,69 in,193 lb
1525,Derek Nelson,United States,North America West,CrossFit Watauga,34,69 in,185 lb
1526,Adam Mirabal,United States,North America West,Ballast CrossFit,27,65 in,160 lb
1527,Steven Delgado,Venezuela,South America,,22,170 cm,72 kg
1527,Mitchell Greer,United Kingdom,Europe,CrossFit Tamnamore,28,175 cm,80 kg
1529,Cameron Maher,Australia,Oceania,CrossFit Kirrawee,31,175 cm,83 kg
1530,Jamie Hope,United Kingdom,Europe,CrossFit Hawk Eye,27,178 cm,89 kg
1531,Hyeokjae Yang,"Korea, Republic of",Asia,CrossFit Dolmengi,38,172 cm,74 kg
1532,Matthew Peter Garth Smith,South Africa,Africa,,30,178 cm,88 kg
1533,Christian Wever,Guatemala,North America East,CrossFit Tecun Uman,24,,
1534,Nick McIntyre,United States,North America East,CrossFit Downtown Heights,21,,
1535,Stephan Enslin,South Africa,Africa,,27,,
1536,Isaac Barrett,United States,North America West,CrossFit Kilo,26,71 in,196 lb
1537,Ethan Ohler,United States,North America West,CrossFit 1886,25,69 in,180 lb
1538,Casper Hansen,Denmark,Europe,CrossFit 2150,29,179 cm,85 kg
1539,Nathaniel Smiler,New Zealand,Oceania,CrossFit Claremont,30,76 in,98 kg
1540,Felix Böpple,Germany,Europe,,30,172 cm,88 kg
1541,Seth Trulock,United States,North America West,CrossFit 601,29,69 in,200 lb
1541,Emilio Chavez,Venezuela,South America,,21,,
1543,Colton Hoksbergen,United States,North America West,CrossFit FC East,28,73 in,205 lb
1544,Kevin Verheyen,Belgium,Europe,CrossFit Petrol,30,173 cm,80 kg
1545,JeongUk Ha,"Korea, Republic of",Asia,CrossFit Pado,34,180 cm,90 kg
1546,Waleed Goher,Egypt,Africa,,26,178 cm,82 kg
1547,Connor Smith,United States,North America West,Ironwood CrossFit,31,68 in,170 lb
1548,Jakub Czurczak,Poland,Europe,CrossFit Poznan,23,,
1548,Kyle Southmayd,United States,North America West,Hammer CrossFit South,20,70 in,185 lb
1550,Joseph Lemancik,United States,North America East,BP CrossFit,23,73 in,205 lb
1551,Chans Porter,United States,North America West,CrossFit Unknown,32,72 in,201 lb
1552,Sean Brickwood,Australia,Oceania,CrossFit Origin,34,175 cm,83 kg
1553,Ben Wadwell,Australia,Oceania,CrossFit Feel Good,33,181 cm,92 kg
1554,Romain Scalzo,France,Europe,CrossFit Vallee du Gier,35,170 cm,154 lb
1554,Tom O'Brien,United States,North America East,Harborside CrossFit,23,,
1556,Dakota Shackleton,United States,North America West,Rhino CrossFit,29,73 in,195 lb
1557,Jan Guźniczak,Poland,Europe,,28,190 cm,93 kg
1558,David Casasnovas,Spain,Europe,C23 CrossFit,29,175 cm,89 kg
1559,Bernardo Garcia del Rio,Spain,Europe,,30,175 cm,84 kg
1560,Youngseo Choi,"Korea, Republic of",Asia,,33,177 cm,94 kg
1561,Wissam Abou Lebdeh,Lebanon,Asia,9616 CrossFit,24,,
1562,Brett Honsey,United States,North America East,CrossFit MShed,22,71 in,205 lb
1562,Nichlas Lantz,Sweden,Europe,CrossFit Walleye,28,181 cm,83 kg
1564,Jessie Diaz,United States,North America East,CrossFit Enclave,35,64 in,175 lb
1565,Stephen Bart,United States,North America East,CrossFit Reconstructed,32,67 in,178 lb
1566,Mohamad El kadi,Brazil,South America,Avanti CrossFit SPL,34,190 cm,220 lb
1567,Emmett Murtagh,Ireland,Europe,Crooked Lake CrossFit,31,173 cm,160 lb
1567,Kwak Minseok,"Korea, Republic of",Asia,CrossFit BTP,32,186 cm,92 kg
1569,Vincent Bolduc,Canada,North America East,L'Usine CrossFit 640,26,180 cm,195 lb
1570,Ezequiel Ledesma,Argentina,South America,WTC CrossFit,24,,
1571,Jaden Van Roekel,United States,North America West,CrossFit OFC,23,,
1572,Carlos Daniel Ocampo Ulloa,Mexico,North America West,,21,,
1573,Milox Benoit,France,Europe,Millesime CrossFit Talence,32,178 cm,83 kg
1573,HyeonJong Na,"Korea, Republic of",Asia,CrossFit Zest,33,,
1575,Baptiste Fellonneau,France,Europe,CrossFit Castanet-Tolosan,23,,
1576,Raffi Raffael,Australia,Oceania,CrossFit EXF,36,69 in,180 lb
1576,Josh Hansen,United States,North America West,,28,71 in,190 lb
1578,Jeremiah Benye,Ghana,Africa,233 CrossFit,21,176 cm,82 kg
1579,Jamel Pinto,Venezuela,South America,CrossFit Iron Burger,32,176 cm,82 kg
1580,Florian Neumaier,Germany,Europe,CrossFit Rheinfelden,32,171 cm,89 kg
1580,Kyle Krepps,United States,North America East,CrossFit Brunswick,24,,
1582,Derek Abdelnour,United States,North America East,CrossFit Boynton Beach,32,67 in,165 lb
1583,Matthew Burnham,United States,North America West,The Pack CrossFit,28,74 in,205 lb
1584,Andrew Burke,Canada,North America East,CrossFit NCR,25,70 in,195 lb
1585,Mika Sola,Finland,Europe,CrossFit East Turku,32,184 cm,98 kg
1586,Nick Burns,United States,North America West,High Mountain CrossFit,30,73 in,205 lb
1587,Joseph Rojan,United States,North America West,,30,70 in,178 lb
1588,Michal Mička,Czech Republic,Europe,,34,171 cm,80 kg
1589,Samuel Szücs,Slovakia,Europe,,25,188 cm,93 kg
1590,Kyle Tiringer,United States,North America East,Port CrossFit,36,70 in,180 lb
1591,Joao Borba,Brazil,South America,,22,180 cm,89 kg
1592,Tatsuro Inoue,Japan,Asia,CrossFit Asia,28,,
1593,Arthur Macé,France,Europe,CrossFit Happy Hearts,25,,
1594,Zachary Gordon,United States,North America West,Ballast CrossFit,34,69 in,195 lb
1595,Robin Morard,Switzerland,Europe,CrossFit 9 7 5,28,172 cm,77 kg
1596,Thanasis Fellas,Greece,Europe,,34,179 cm,85 kg
1597,Alex Dzierbicki,United States,North America West,,32,70 in,215 lb
1598,Sam Goovaerts,United States,North America East,Champlain Valley CrossFit,24,73 in,200 lb
1598,Brandon Schipper,United States,North America West,CrossFit Prior Lake,27,70 in,193 lb
1600,Loris Artaud,France,Europe,CrossFit La Gardiole,23,182 cm,93 kg
1601,Daniel Pyatt,United Kingdom,Europe,CrossFit Ascot,29,68 in,85 kg
1602,ruben hoogenhout,Netherlands,Europe,CrossFit Amsterdam,29,,
1603,Timofey Orlov,Kazakhstan,Asia,Sever CrossFit,20,173 cm,80 kg
1604,Alejandro Ballesteros,Spain,Europe,One Mile CrossFit,24,,
1605,Ismael Perez,United States,North America West,DarkThirty CrossFit,24,,
1605,Thomas Bartley,Australia,Oceania,Fitness Alley CrossFit,27,174 cm,87 kg
1605,Gage Capel,United States,North America West,Wasatch CrossFit,27,71 in,195 lb
1608,Robbie Hunt,Australia,Oceania,Freezing Hot CrossFit,27,178 cm,84 kg
1609,Alvaro Novoa,Mexico,North America West,,23,,
1610,Jose Lima,Canada,North America East,CrossFit Colosseum,33,178 cm,185 lb
1611,Lucas Raybaud,France,Europe,CrossFit Challans,22,183 cm,75 kg
1612,Zack Seres,United States,North America East,North Chester CrossFit,30,,
1613,Joubert Boshoff,South Africa,Africa,CrossFit Eikestad,26,178 cm,175 lb
1614,Johann Van Zyl,Australia,Oceania,CrossFit Urban Energy,38,191 cm,99 kg
1614,Derek Garza,United States,North America West,Koda CrossFit,25,,
1616,Jacob Wheeler,Australia,Oceania,CrossFit Esplanade,30,156 cm,68 kg
1617,Alexis Bonenfant,Canada,North America East,STADD CrossFit,20,180 cm,185 lb
1618,Joshua Beeker,United States,North America East,,25,69 in,190 lb
1619,Tom Geslin,France,Europe,CrossFit Fenrir,22,188 cm,95 kg
1619,Mathieu Bertrand,France,Europe,CrossFit de la Paix,26,178 cm,90 kg
1621,Paulo Fernandes,Brazil,South America,CrossFit City Wolves,31,184 cm,90 kg
1622,Gianmarco Borsellino,Italy,Europe,,20,168 cm,82 kg
1623,Reid Howland,United States,North America West,SnoRidge CrossFit,25,,
1624,Ian Earp,United States,North America West,CrossFit St Louis Park,27,,
1625,John Miller,United States,North America East,,33,71 in,195 lb
1626,Luke Small,United States,North America West,CrossFit Lee's Summit (LS),27,70 in,182 lb
1627,Nordi Mohand Hamete,Spain,Europe,CrossFit Santoña,32,180 cm,85 kg
1628,Polli Riveros,Paraguay,South America,Kingbull CrossFit,27,,
1629,Vasilis Basmatzidis,Greece,Europe,,32,,
1630,Christoffer Kittilsen,Norway,Europe,CrossFit Oslo,31,,
1631,Beau Bennett,United States,North America West,,21,,
1632,Cameron Fyffe,United States,North America East,CrossFit Frostbite,25,72 in,210 lb
1633,Imanol Citores,Spain,Europe,CrossFit Zarautz,33,,
1634,Adam Grosskreutz,United States,North America East,CrossFit 859,30,76 in,228 lb
1635,Juan Albaladejo,Spain,Europe,,25,177 cm,79 kg
1636,Alex Sroka,United States,North America East,CrossFit Severance,31,70 in,205 lb
1637,Jamali Smith,United States,North America East,New Species CrossFit,30,70 in,197 lb
1638,Hyunjun Kwon,"Korea, Republic of",Asia,Yangsan CrossFit,27,173 cm,83 kg
1639,Nolan Gauthier,United States,North America East,CrossFit Luke,31,73 in,218 lb
1640,Caleb Silvey,United States,North America East,CrossFit Simpsonville,27,75 in,208 lb
1641,Mason Woodward,United States,North America East,Down Home CrossFit,28,69 in,200 lb
1642,Brandon Wen,United States,North America East,CrossFit Blackbuck,28,74 in,215 lb
1642,Dorjnamjim Dorjsembe,Mongolia,Asia,GAN CrossFit,29,184 cm,89 kg
1644,Harrison Dayton,United States,North America East,Columbia CrossFit,24,68 in,185 lb
1645,Charles Hallworth,Sweden,Europe,Gripen CrossFit,27,179 cm,90 kg
1646,Luis David Cardona Calderon,Colombia,South America,,27,175 cm,77 kg
1647,Rafael Maksimowski,Germany,Europe,CrossFit Buchholz in der Nordheide,29,190 cm,106 kg
1648,Jeff Nilsson,Sweden,Europe,TML CrossFit,35,174 cm,80 kg
1649,Marcin Kopec,Poland,Europe,,30,,
1650,Adriano Ponte,Brazil,South America,CrossFit Le Huit,29,178 cm,90 kg
1650,Kodi Schaefer,United States,North America East,Freakin CrossFit,29,,
1652,Drexel Forbes,United States,North America East,CrossFit Hype,31,72 in,205 lb
1653,ludovic TARDY,France,Europe,CrossFit Ternay,21,184 cm,90 kg
1654,Do-eon Kwak,"Korea, Republic of",Asia,CrossFit Honey Badger,29,173 cm,78 kg
1655,Franklin Bravo,Ecuador,South America,,25,68 in,165 lb
1656,Jon Gómez,Spain,Europe,Red Grizzly CrossFit,31,182 cm,88 kg
1657,Jake Priest,United States,North America West,CrossFit Helo,32,72 in,216 lb
1658,Joseph Vachon,United States,North America East,DeepRoots CrossFit,34,69 in,190 lb
1659,Marco Borzi,Italy,Europe,,34,176 cm,90 kg
1660,Eetu Halminen,Finland,Europe,CrossFit Karjaranta,27,,
1661,Josh Snyder,United States,North America East,CrossFit 1099,25,,
1662,Kim Carlsson,Sweden,Europe,Fysiken CrossFit,29,,
1663,Pepper Walsh,United States,North America East,CrossFit Downtown Heights,33,72 in,205 lb
1664,Kevin Winkens,Germany,Europe,CrossFit Vitus,33,175 cm,83 kg
1665,Felippe Camargos,Brazil,South America,Zurich Nord CrossFit,34,184 cm,185 lb
1666,Caleb Toews,United States,North America West,Koda CrossFit Tulsa,34,70 in,175 lb
1667,Nicolás Dueñas,Panama,North America East,,22,172 cm,140 lb
1668,Luke Watts,United States,North America East,CrossFit 926,27,75 in,205 lb
1668,Riley McNamara,United States,North America West,Koda CrossFit Iron View,24,70 in,180 lb
1670,Joshua Harding,United States,North America East,CrossFit Mad Hatter,36,72 in,180 lb
1671,Wendell Volpi,Brazil,South America,RedMob CrossFit,27,182 cm,97 kg
1672,Zac Bleninger,United States,North America West,CrossFit Lakeville,35,69 in,195 lb
1673,Gustavo Almeida,Portugal,Europe,,31,185 cm,91 kg
1674,Artur Cabral,Brazil,South America,CrossFit 1490,28,195 cm,210 lb
1675,Gabriele Giglio,Italy,Europe,CrossFit Cinecittà,26,181 cm,87 kg
1676,Dylan Couch,United States,North America West,CrossFit Central Houston,26,71 in,210 lb
1676,Nikita Tissen,Asia,Age 27,178 cm | 80 kg,27,178 cm,80 kg
1678,Kyle Schaake,United States,North America West,CrossFit Fortius,35,74 in,215 lb
1679,Bryce Brown,United States,North America West,CrossFit McCabe,33,68 in,180 lb
1680,Connor Livingston,United States,North America West,Living Fit CrossFit,29,72 in,198 lb
1680,Alex Ankrom,United States,North America East,CrossFit Huntsville,30,70 in,185 lb
1682,Luciano Busacca,Argentina,South America,WTC CrossFit,29,,
1683,Luis Silva,Portugal,Europe,CrossFit Alpha Den,30,173 cm,83 kg
1684,James Lewis,United Kingdom,Europe,CrossFit Kemah,27,176 cm,90 kg
1685,Mads Blak Rønberg,Denmark,Europe,CrossFit North 579,26,188 cm,96 kg
1685,Joseph Acovski,United States,North America East,CrossFit DHF,34,69 in,190 lb
1687,Oleg Nikulin,Ukraine,Europe,,30,172 cm,84 kg
1688,Mikkel Larsen,Denmark,Europe,Aarhus CrossFit,25,,
1689,Joao Jesus,Portugal,Europe,CrossFit Alvalade,26,,
1690,David Nilsson,Sweden,Europe,Majoren CrossFit,31,190 cm,95 kg
1691,Kris MacEwen,Canada,North America East,Court 6 CrossFit,34,73 in,212 lb
1692,Jack Melia,United Kingdom,Europe,CrossFit BFG,24,184 cm,88 kg
1693,Damon Nicolai,Netherlands,Europe,Make A Difference CrossFit,22,,
1694,Iban Jauregi,Spain,Europe,Basoa CrossFit,31,,
1694,David Segun,Nigeria,Africa,Ben Lomond CrossFit,31,71 in,195 lb
1696,Luca Bertelli,Italy,Europe,CrossFit Officine,28,183 cm,92 kg
1697,Cameron Hashemi,United States,North America West,CrossFit X,31,72 in,205 lb
1698,Dennis Björnström,Sweden,Europe,Garaget CrossFit,33,175 cm,73 kg
1698,Nicolas Fernandez,Colombia,South America,Peak 360 CrossFit,22,69 in,170 lb
1700,Ben Fairlie,United Kingdom,Europe,TTZ CrossFit,25,173 cm,83 kg
1701,Tavis Valenzuela,United States,North America West,Persistence Culture Moorpark CrossFit,24,70 in,190 lb
1701,Alec Maitland,United States,North America East,CrossFit Explode,25,71 in,190 lb
1701,Travis Leiskau,United States,North America West,CrossFit Igneous,29,68 in,195 lb
1704,Alexander Witkus,United States,North America East,Patriot CrossFit,30,70 in,190 lb
1705,Arttu Harju,Finland,Europe,CrossFit Myrsky,26,195 cm,100 kg
1706,Max Ursem,Netherlands,Europe,CrossFit Westenwind,22,180 cm,85 kg
1707,Crayton Benson,United States,North America East,CrossFit South Cherry,32,68 in,165 lb
1708,Herman Astrand,Sweden,Europe,Majoren CrossFit,26,176 cm,87 kg
1709,Jonas Bentsen,Denmark,Europe,CrossFit Dome,23,183 cm,91 kg
1710,James Fowler,United Kingdom,Europe,CrossFit Leeds,31,187 cm,95 kg
1711,Trae Weiss,United States,North America East,Covenant CrossFit,32,72 in,195 lb
1712,Andrei Loiola,Brazil,South America,CrossFit Lagoa,30,178 cm,90 kg
1713,Jonas Rasmussen,Denmark,Europe,CrossFit 2150,24,,
1714,Seth Prochazka,United States,North America West,,33,70 in,198 lb
1715,Matt Baker,Canada,North America East,CrossFit Pro1,28,167 cm,72 kg
1716,Kaleb Salazar,United States,North America West,CrossFit Lubbock,21,,
1717,Quentin Brasey,France,Europe,Aëtos CrossFit,27,187 cm,90 kg
1718,Jonathan Mendez,Puerto Rico,North America East,SF CrossFit,41,67 in,170 lb
1719,Jacob Hendry,Australia,Oceania,CrossFit Alioth,25,,
1719,Brad Chew,United States,North America West,CrossFit Standard Strength,28,69 in,175 lb
1721,Bjønn Åmund Nordjore,Norway,Europe,Grenland CrossFit,23,191 cm,93 kg
1722,Matt Provost,Canada,North America East,CrossFit Colosseum,31,71 in,195 lb
1723,Jimmy Reyes,United States,North America East,CrossFit Simplicity,34,70 in,180 lb
1724,Corey Huggins,Australia,Oceania,CrossFit CQ,29,,
1725,Mozart Sauceda,Mexico,North America West,,24,173 cm,84 kg
1726,Jairo Cabrera,Spain,Europe,CrossFit Castro Urdiales,33,181 cm,92 kg
1727,Scott Treleaven,United Kingdom,Europe,WIT CrossFit,32,,
1728,Sasha Kastorniy,Asia,Red Tower CrossFit,,27,186 cm,92 kg
1729,José Ruiz,Guatemala,North America East,Brau Athletics CrossFit,27,,
1730,Rilyn Lewchuk,United States,North America West,Rose City CrossFit,28,,
1731,Paul Markhauser,Canada,North America East,CrossFit Pro1,27,72 in,210 lb
1732,Caleb Foxworth,United States,North America West,Coyote CrossFit,33,74 in,196 lb
1733,Joshua Rudesill,United States,North America West,CrossFit Lakeville,28,67 in,187 lb
1734,Oliver Hays,Australia,Oceania,,28,179 cm,92 kg
1735,Nick OSullivan,United States,North America West,CrossFit Chalk,29,72 in,195 lb
1736,Mateusz Stepnikowski,Poland,Europe,CrossFit 72D,28,176 cm,90 kg
1737,Mark Suthers,Canada,North America East,CrossFit Totality,24,69 in,190 lb
1737,Benjamin Kreiter,Austria,Europe,24N46E CrossFit,33,177 cm,81 kg
1737,Yuri Favero,Brazil,South America,CrossFit 828,24,186 cm,97 kg
1740,Justin Dewing,United States,North America East,CrossFit Huntersville,19,72 in,190 lb
1741,Paul Castillo,United States,North America East,CrossFit 8 Mile,33,71 in,200 lb
1742,Jacques Van Der Walt,South Africa,Africa,CrossFit Wanderlust,33,175 cm,89 kg
1743,Gianmarco Pentoli,Italy,Europe,Reebok CrossFit Ravenna,33,173 cm,80 kg
1744,Andrew Lowry,United States,North America West,CrossFit Invictus,26,73 in,200 lb
1745,Derrick Gullett,United States,North America East,Centered CrossFit,25,70 in,190 lb
1746,Quentin Jacques,France,Europe,CrossFit Minimes,28,185 cm,85 kg
1747,Keiji Oda,Japan,Asia,Port Tower CrossFit,28,168 cm,86 kg
1748,Roberto De Gennaro,Italy,Europe,Eterna CrossFit,32,187 cm,92 kg
1749,Kris Gokey,United States,North America West,Kulak CrossFit,33,72 in,177 lb
1750,Coleman Gravitt,United States,North America West,Diablo CrossFit,27,70 in,160 lb
1751,Brayden Wheeler,Australia,Oceania,CrossFit Arete,29,178 cm,78 kg
1751,Jeremías Lasso Quintero,Spain,Europe,CrossFit Lanzarote,32,171 cm,83 kg
1753,Mathieu Bignon,Canada,North America East,CrossFit Pro1,29,183 cm,81 kg
1754,Esteban Burgos,Chile,South America,,34,174 cm,85 kg
1755,Arnaud Penel,France,Europe,CrossFit Genas,29,175 cm,80 kg
1756,Anton Narinskiy,United States,North America West,CrossFit Horsepower,38,74 in,210 lb
1757,Guillaume Chenu,France,Europe,CrossFit Lutece,26,,
1758,Eugene Abraham,Ghana,Africa,CrossFit Level Up,36,189 cm,93 kg
1759,Jeremy Gilstorf,United States,North America East,Calibrated CrossFit,26,72 in,210 lb
1760,Bradley Thornton,Canada,North America East,CrossFit Resurrection,24,180 cm,202 lb
