Athlete,Affiliate,Country,Region,Division,Rank,Games_Level,Qualifier,Back Squat (lbs),Clean and Jerk (lbs),Deadlift (lbs),Snatch (lbs),Fight Gone Bad,Max Pull-ups,Chad1000x (s),L1 Benchmark (s),Filthy 50 (s),Fran (s),Grace (s),Helen (s),Run 5k (s),Sprint 400m (s)
Bree Ferber,CrossFit Thin Blue Line,,worldwide,Women,21512,worldwide,open,205,155,325,115,,14,,,,,157,,1716,117
Meghan Capasso,CrossFit SOSF,,worldwide,Women,21515,worldwide,open,175,,205,,,,,,,315,,,1160,
Melanie McCorison,Blackstone River CrossFit,,worldwide,Women,21520,worldwide,open,220,135,275,105,,,,,,,,,,
Tj Stefl,,,worldwide,Men,21528,worldwide,open,350,245,445,152,,,,,1956,243,136,490,1425,62
Matt Rattay,CrossFit Anywhere,,worldwide,Men,21531,worldwide,open,490,370,535,275,,,,,,,,,,
Kim McKay,CrossFit Forth Valley,,worldwide,Women,21536,worldwide,open,,,,,,,,,,,,,1381,
Charlie Ruano Guerra,CrossFit Quince,,worldwide,Men,21538,worldwide,open,375,275,435,215,,40,,,,250,,,2100,
Curtis Smith,,,worldwide,Men,21553,worldwide,open,410,280,515,200,341,47,,,1567,213,129,578,1391,
Jules Palatin,CrossFit Ballers,,worldwide,Men,21585,worldwide,open,302.03294,231.4851,418.8778,182.98346,,,,,,,,,1220,
Tyler Adamson,CrossFit South Wharf,,worldwide,Men,21591,worldwide,open,462,319,528,275,,,,,,226,108,,,
Whitney Vaughan,CrossFit Sulphur Springs,,worldwide,Women,21597,worldwide,open,185,135,210,95,,,,,,387,,747,1652,
Tyler Dover,CrossFit Ooltewah,,worldwide,Men,21603,worldwide,open,400,265,425,215,303,,,,1745,200,143,551,,
Lucas Pusch,G7 CrossFit,,worldwide,Men,21613,worldwide,open,365,325,981.0559,247,,68,,,,,,,1384,
Laurence Calmes,CrossFit Albi,,worldwide,Women,21627,worldwide,open,220.462,154.3234,275.5775,110.231,,,,,,,,,,
Alan Cohen,AB CrossFit,,worldwide,Men,21638,worldwide,open,366,235,405,185,301,,,,,,185,,1321,
Tyler Diaz,DFX CrossFit,,worldwide,Men,21639,worldwide,open,435,305,485,215,281,45,3120,,1450,220,277,497,1296,57
Jeremy Fonta,King Panda CrossFit,,worldwide,Men,21641,worldwide,open,451.9471,297.6237,529.1088,231.4851,,21,,,,,,,1537,
Zach Frament,Battle CrossFit,,worldwide,Men,21651,worldwide,open,405,285,475,215,278,21,,240,,422,178,650,1680,74
Danilo Marques,,,worldwide,Men,21652,worldwide,open,315,245,400,205,,,,,,239,190,,1125,57
Sergio Gomez,CrossFit SSC,,worldwide,Men,21659,worldwide,open,330.693,242.5082,374.7854,187.3927,,39,,,,201,260,,1110,68
Ezequiel Bautista,CrossFit Indianapolis,,worldwide,Men,21662,worldwide,open,405,285,555,220,,50,,,,180,170,534,1181,59
Uliana Grebenshchikova,CrossFit Udarnik,,worldwide,Women,21663,worldwide,open,198.4158,132.2772,275.5775,99.2079,,19,,,,303,,,,
Megan Lastoria,CrossFit Illuminate,,worldwide,Women,21675,worldwide,open,300,200,325,170,352,,,,,252,117,664,,
Chase Bernardy,Block CrossFit,,worldwide,Men,21684,worldwide,open,300,270,400,185,302,,,,1085,303,202,527,1007,57
Byron Nel,CrossFit Kia Maia,,worldwide,Men,21685,worldwide,open,352.7392,275.5775,440.924,220.462,,,,,,,,,,
Alayna Wardroup,CrossFit Courageous,,worldwide,Women,21699,worldwide,open,280,165,310,131,329,,,,,,,,,
Thomas Niort,CrossFit Dery Street,,worldwide,Men,21711,worldwide,open,100,,120,45,,,,,,,,,,
Alex O'Donnell,CrossFit Mile Zero,,worldwide,Women,21714,worldwide,open,,140,225,,,,,,,,,,1260,
Adam Barney,Teton CrossFit,,worldwide,Men,21718,worldwide,open,315,255,425,220,,,,,,152,,,,69
Mats Nordstrand,CrossFit Langevag,,worldwide,Men,21719,worldwide,open,396.8316,297.6237,551.155,198.4158,,,,,,268,128,,,
Daniel Church,,,worldwide,Men,21725,worldwide,open,455,350,500,300,,57,,,,178,80,494,,76
Miguel Matos,CrossFit Human Performance A.S,,worldwide,Men,21728,worldwide,open,405,315,455,240,,,,,,180,,,,
Gibran Rodriguez,CrossFit Queretaro,,worldwide,Men,21729,worldwide,open,475,361,525,285,433,60,,,960,186,87,537,,
Jazmin Hernandez,CrossFit 915,,worldwide,Women,21730,worldwide,open,265,195,300,145,,,,,,,,,,
Julien Bombiero,M34 CrossFit East,,worldwide,Men,21741,worldwide,open,348.32996,242.5082,403.44546,209.4389,,52,,,,172,156,510,1049,52
Jarrette Montalbo,CrossFit Foothill,,worldwide,Men,21742,worldwide,open,305,215,355,160,,,,,,,,,,
Devin Algren,Long Road CrossFit,,worldwide,Women,21749,worldwide,open,275,190,280,160,230,,,,,290,127,,,96
Elizabeth Strawbridge,Average Joe's CrossFit,,worldwide,Women,21757,worldwide,open,220,180,265,125,,,,,1984,199,158,,1710,
Alexandre Damasceno,Tai CrossFit,,worldwide,Men,21763,worldwide,open,365,275,435,235,,48,,,,173,137,,,
Christopher Papajcik,CrossFit High Gear,,worldwide,Men,21781,worldwide,open,330,255,455,190,,,,,,,,,,
Tyler Dundore,CrossFit Triple River,,worldwide,Men,21790,worldwide,open,380,286,500,242,360,27,3295,,,164,150,,,
Nicolas Thifault,CrossFit U3R,,worldwide,Men,21815,worldwide,open,375,280,425,225,,,,,,253,,,1470,
Kyle Dewitt,Calibrated CrossFit,,worldwide,Men,21829,worldwide,open,365,255,385,185,,,,,1188,217,,540,,
Allison Lindow,MWG CrossFit,,worldwide,Women,21837,worldwide,open,240,175,300,105,136,,,,,299,222,,,
Sarah Riddle,CrossFit Mayhem,,worldwide,Women,21858,worldwide,open,215,175,255,142,,,,,,392,139,736,,
Brett Cockrum,CrossFit 51,,worldwide,Men,21869,worldwide,open,425,315,455,245,290,,,,,166,131,565,1571,65
Warren Smith,CrossFit CEY,,worldwide,Men,21870,worldwide,open,352.7392,242.5082,352.7392,231.4851,,31,,,,,,,1290,
Greg Peterson,CrossFit Endemic,,worldwide,Men,21882,worldwide,open,335,235,425,190,,38,,,,,,,,
Sandra Grüterich,CrossFit Düsseldorf,,worldwide,Women,21898,worldwide,open,176.3696,110.231,264.5544,88.1848,,,,,,,,,,
Andressa Resende,CrossFit UBUNTU,,worldwide,Women,21903,worldwide,open,231.4851,152.11878,253.5313,125.66334,,15,,,,395,265,,1575,
Taylor Parsons,You Lift CrossFit,,worldwide,Women,21912,worldwide,open,245,195,285,150,,21,,,,346,,,,
Ryan Fox,CrossFit Standard Strength,,worldwide,Men,21912,worldwide,open,355,285,435,215,,35,,,,176,129,540,1245,69
Riccardo Tommasini,CrossFit Villeurbanne,,worldwide,Men,21921,worldwide,open,337.30686,249.12206,429.9009,165.3465,,,,,,167,167,567,,
Ryan Crabtree,Atlas CrossFit,,worldwide,Men,21922,worldwide,open,405,325,525,235,,,,,,147,98,,,
Lawson Borla,Rock Canyon CrossFit,,worldwide,Men,21938,worldwide,open,340,245,345,215,,,,,,,,,,
Danny Curran,CrossFit Eccentric,,worldwide,Men,21954,worldwide,open,308.6468,253.5313,440.924,216.05276,,50,,,,181,,526,,
Madi Mellage,OTAC CrossFit,,worldwide,Women,21963,worldwide,open,210,175,275,140,,,,,,,,,,
Sofia Flores,Magno CrossFit,,worldwide,Women,21975,worldwide,open,265,155,285,110,,,,,,,,,1729,
Sofia Flores,Magno CrossFit,,worldwide,Women,21975,worldwide,open,265,155,285,110,,,,,,,,,1729,
Olivia Morris,CrossFit Plattsburgh,,worldwide,Women,21983,worldwide,open,205,160,255,130,317,,,,2062,377,183,734,,
Greg Ponick,CrossFit Chippewa Falls,,worldwide,Men,21984,worldwide,open,505,365,560,240,,,,,,188,,574,,
Nicolas Ramsamy,CrossFit Rumilly,,worldwide,Men,21990,worldwide,open,209.4389,198.4158,330.693,149.91416,,,,,,305,,,1120,
Joao Braga Netto,CrossFit Al Ain,,worldwide,Men,22006,worldwide,open,385.8085,255.73592,462.9702,194.00656,,31,,,,180,,,,
Michael Getsi,3 Star CrossFit,,worldwide,Men,22010,worldwide,open,290,235,405,175,,60,,,,,,,,
Luis Torres,Studio CrossFit,,worldwide,Men,22031,worldwide,open,315,225,,185,,,,,,,,,,
Sean Massey,Injustice CrossFit,,worldwide,Men,22033,worldwide,open,445.33324,297.6237,480.60716,224.87124,,25,,,,150,,,,
Brandon Smith,CrossFit Luke,,worldwide,Men,22045,worldwide,open,400,300,500,240,404,38,,,1185,210,115,550,1125,60
Adam Genčík,CrossFit Uranova,,worldwide,Men,22055,worldwide,open,359.35306,264.5544,407.8547,198.4158,,30,,,,,,,,
Sandra Levi,Condal CrossFit,,worldwide,Women,22061,worldwide,open,176.3696,143.3003,209.4389,105.82176,,,,,,,,,,
Drew Fendrich,Carpe Diem CrossFit,,worldwide,Men,22066,worldwide,open,385,265,485,195,,,,,,,,,,
Isaac Morgado,,,worldwide,Men,22074,worldwide,open,,,,,,,,,,218,,,,
Matthew Houlihan,CrossFit Assiduous,,worldwide,Men,22098,worldwide,open,286.6006,231.4851,396.8316,176.3696,,30,,,,169,156,,,
Valeria Mendoza,CrossFit RFG,,worldwide,Women,22102,worldwide,open,245,185,275,120,,29,,,,,207,,,
James Rankin,CrossFit Bua,,worldwide,Men,22143,worldwide,open,352.7392,222.66662,451.9471,154.3234,,,,,,,211,533,,
Aleksander Blom,CrossFit Tordenskjold,,worldwide,Men,22149,worldwide,open,297.6237,,418.8778,,,17,,,,,,,,
Renato Oliveira,A20s Box CrossFit,,worldwide,Men,22150,worldwide,open,,,,,,,,,,,,,1145,
Mateo Rengel,,,worldwide,Men,22151,worldwide,open,335,235,415,180,,50,,,,156,,,,
Michael Bean,CrossFit Straight Cheetah,,worldwide,Men,22152,worldwide,open,405,325,515,245,,,,,,152,102,,,
Harlie Legendre,CrossFit Crab Trap,,worldwide,Women,22155,worldwide,open,225,180,315,125,,,,,,,,,,
Olivia Daniels,CrossFit Muswellbrook,,worldwide,Women,22157,worldwide,open,220.462,154.3234,264.5544,134.48182,,,,,,,,,,
Ryan Lunny,CrossFit Invictus Back Bay,,worldwide,Men,22158,worldwide,open,365,255,410,210,,45,,,1380,159,217,567,1301,
Taylor Wykoff,Northstate CrossFit,,worldwide,Men,22176,worldwide,open,445,335,445,265,,,,,,142,113,469,,60
Hunter Harrison,CrossFit East Nashville,,worldwide,Men,22195,worldwide,open,415,300,465,235,,,,,,230,,,,
Izhian Eru,CrossFit 3216,,worldwide,Men,22200,worldwide,open,418.8778,330.693,451.9471,268.96364,,,,,,,108,,,
David Clavijo,,,worldwide,Men,22213,worldwide,open,285,235,375,185,,30,,,,,153,,,71
Andrea Romero,CrossFit 08019,,worldwide,Women,22220,worldwide,open,264.5544,95,308.6468,176.3696,,,,,,,,,,
Daniel Birk Nielsen,CrossFit Hobro,,worldwide,Men,22221,worldwide,open,308.6468,242.5082,374.7854,198.4158,,,,,,220,,,,
Jens Wohlbier,Dropout CrossFit,,worldwide,Men,22222,worldwide,open,365,,485,,342,,,,,159,150,,,
Diego Llamozas,Speck CrossFit CCS,,worldwide,Men,22222,worldwide,open,400,305,410,205,,,,,,183,,,,
Chloe Coto,1789 CrossFit III,,worldwide,Women,22244,worldwide,open,154.3234,143.3003,264.5544,110.231,,,,,,,,,1535,
Leandro Liberal,Sarine CrossFit,,worldwide,Men,22256,worldwide,open,319.6699,231.4851,352.7392,180.77884,334,,,,,240,241,620,,73
Anthony Fortugno,CrossFit Pawling,,worldwide,Men,22267,worldwide,open,345,280,507,217,,42,,,,170,,557,,57
Kristijan Gjorgjevik,Brick CrossFit Grand Central,,worldwide,Men,22270,worldwide,open,360,285,500,210,,17,,,,296,127,598,1190,
Erica Cashin,Port CrossFit,,worldwide,Women,22271,worldwide,open,220,,,135,,,,,,,,,,
Jessica Jordan,Jump Ship CrossFit II,,worldwide,Women,22275,worldwide,open,135,130,235,98,,,,,,332,,648,1189,
Kristin Penman,CrossFit Kryptonite,,worldwide,Women,22283,worldwide,open,250,155,275,135,360,50,,,1258,172,159,637,1530,87
Lauren Griffiths,,,worldwide,Women,22295,worldwide,open,185.18808,,231.4851,66.1386,,,,,1775,,,833,,
Ruslan Sklez,CrossFit BANDA V,,worldwide,Men,22306,worldwide,open,507.0626,374.7854,573.2012,308.6468,,45,,,,158,70,,1560,
Lauren Stretz,CrossFit On Track,,worldwide,Women,22323,worldwide,open,180,130,210,85,,,,,,,,,,
Bruna Passanezi,CrossFit Tupis,,worldwide,Women,22326,worldwide,open,225,155,,120,,27,,,,427,257,617,,
Ashleigh Berger,CrossFit 2400,,worldwide,Women,22337,worldwide,open,246.91744,176.3696,286.6006,132.2772,,,,,,,277,,1140,
Nathanael Hoffmann,CrossFit LC Valley,,worldwide,Men,22339,worldwide,open,475,315,515,255,,,,,,159,,,,
Albin Miche,CrossFit Dery Street,,worldwide,Men,22345,worldwide,open,,209.4389,374.7854,165.3465,,,,,,,,,,
Sam Straeuli,CrossFit Zurich,,worldwide,Men,22351,worldwide,open,365.96692,264.5544,462.9702,220.462,301,30,,,,219,151,,1371,59
Shianne Huffman,Bare CrossFit,,worldwide,Women,22352,worldwide,open,155,115,220,80,,,,,,,,,,
Molly Silver,CrossFit 4185,,worldwide,Women,22354,worldwide,open,170,135,265,105,,10,,,,,,,1200,
Alphonse Garcia,CrossFit Voiron,,worldwide,Men,22361,worldwide,open,337.30686,246.91744,407.8547,220.462,,25,,,,,257,,,
Jodi Berkeley,CrossFit Horizons,,worldwide,Women,22362,worldwide,open,242.5082,182.98346,319.6699,132.2772,297,,,,,360,137,681,1390,
Oscar Pantoja,CrossFit SOTO,,worldwide,Men,22364,worldwide,open,250,,315,,,,,,,,,,,
Enzo Garcia,CrossFit City Wolves,,worldwide,Men,22368,worldwide,open,220.462,209.4389,330.693,176.3696,312,,,,,345,335,,1094,
Wesley Elford,CrossFit Ho'ola,,worldwide,Men,22373,worldwide,open,315,255,455,205,,22,,,,480,,625,,
Susanna Teran,Excelsus CrossFit,,worldwide,Women,22374,worldwide,open,,,264.5544,143.3003,,,,,,,,,,120
Lucas Ogueta,CrossFit Tuluka,,worldwide,Men,22385,worldwide,open,352.7392,264.5544,418.8778,198.4158,,,,,,,,,,
Sibonet Quinones,Cantina CrossFit,,worldwide,Women,22389,worldwide,open,230,175,275,135,,,,,,249,223,,,
Mary Bruno,CrossFit Reston,,worldwide,Women,22391,worldwide,open,,,,,,,3430,,,,,,,
Jolex Campos,Peak 360 CrossFit,,worldwide,Men,22410,worldwide,open,330,265,455,,,,,,,,,,,
Christopher Balonier,CrossFit Sarajevo,,worldwide,Men,22416,worldwide,open,330.693,253.5313,407.8547,209.4389,,,,,,187,276,591,,
Forrest Martinez,CrossFit Optimistic,,worldwide,Men,22425,worldwide,open,385,265,385,205,400,58,,,1170,167,127,450,1069,57
Kelly Sekulovski,Angel Oak CrossFit,,worldwide,Women,22434,worldwide,open,285,220,335,165,,,,,,222,178,,,
Dann Lemerand,Dignified CrossFit,,worldwide,Men,22434,worldwide,open,395,265,465,215,346,52,,,1332,173,158,,1404,
Krista Harty,CrossFit 970,,worldwide,Women,22440,worldwide,open,180,140,250,110,,,,,,,302,670,1617,
Michael Albanese,CrossFit Uprising,,worldwide,Men,22446,worldwide,open,405,275,,240,261,,,,,360,185,668,,
Krystle Argueta,CrossFit Bolt,,worldwide,Women,22448,worldwide,open,245,200,325,142,325,25,,,,322,130,,,
Willian Pancheniak,CrossFit Blumenau,,worldwide,Men,22451,worldwide,open,309,256,361,187,,40,,,,209,190,570,1518,73
Tobey McLaren,CrossFit Epping,,worldwide,Men,22466,worldwide,open,440,335,500,275,,50,,,,138,120,561,1392,70
Manuel Berselli,CrossFit Sassuolo,,worldwide,Men,22469,worldwide,open,,308.6468,,231.4851,,48,,,,,,,,
Jeric Anderson,Ballistic Built CrossFit,,worldwide,Men,22474,worldwide,open,515,355,475,270,,,,,,,257,,,77
Joseph Eastman,CrossFit Northumbria,,worldwide,Men,22479,worldwide,open,253.5313,95,363.7623,70,,,,,,353,,,1198,68
Jeremy Himi,CrossFit Valenton,,worldwide,Men,22482,worldwide,open,374.7854,264.5544,551.155,220.462,,,,,,,,,,
Branson Dewese,CrossFit Charlotte,,worldwide,Men,22485,worldwide,open,305,240,355,200,,,,,,,,,,
Brad Salemi,CrossFit 256,,worldwide,Men,22486,worldwide,open,305,235,425,175,,,,,,,160,,,
Jeffrey Deslandes,CrossFit Mass MVMNT,,worldwide,Men,22493,worldwide,open,335,280,385,195,,,,,,267,203,,1260,62
Michal Holaza,,,worldwide,Men,22500,worldwide,open,429.9009,286.6006,595.2474,264.5544,,43,,,,,,,1391,65
Marlen Mendoza,Atomic CrossFit,,worldwide,Women,22509,worldwide,open,225,140,275,95,,,,,,,,,,
Courtney Eakins,CrossFit Igneous,,worldwide,Women,22519,worldwide,open,180,140,210,105,,,,,1332,280,,,,
Daine Eaton,Ballston CrossFit,,worldwide,Men,22528,worldwide,open,385,280,450,220,433,50,,,1121,152,151,418,1111,56
Ashley Cheek,CrossFit Ransom,,worldwide,Women,22538,worldwide,open,208,135,205,120,154,,,,,,,,2096,
Joshua Johnson,CrossFit RSG,,worldwide,Men,22541,worldwide,open,320,255,405,200,,,,,,232,237,534,,
Daniel Llombart,,,worldwide,Men,22541,worldwide,open,405,305,510,250,,30,,,,156,84,574,1355,84
Shaun Marshall,IST CrossFit,,worldwide,Men,22543,worldwide,open,365,265,415,220,,60,,,,386,,,,
Dakota Smith,CrossFit Mafia,,worldwide,Men,22545,worldwide,open,415,325,525,235,335,28,,,,263,139,582,1502,67
Christopher Ellson,CrossFit Tantrum,,worldwide,Men,22557,worldwide,open,375,10,450,240,,,,,,210,124,,1340,60
Ryan Chipka,,,worldwide,Men,22560,worldwide,open,355,235,405,165,,32,,,,170,,,1190,
Moe Sakio,Bring It On CrossFit,,worldwide,Women,22570,worldwide,open,198.4158,165.3465,233.68972,127.86796,,,,,,335,178,,,
Jeremy Wells,Fortitude CrossFit,,worldwide,Men,22582,worldwide,open,480,330,540,245,,81,,,966,124,107,,,
Justin Boyle,CrossFit Closer,,worldwide,Men,22584,worldwide,open,335,255,365,205,,,,,,287,210,,,
Blake James,CrossFit Okefenokee,,worldwide,Men,22587,worldwide,open,355,285,425,190,,,,,,170,,534,,
Jessica Carter,CrossFit 50211,,worldwide,Women,22599,worldwide,open,195,170,265,130,264,,,,1602,219,240,,,
Delaloye Melanie,CrossFit Octoduria,,worldwide,Women,22603,worldwide,open,182.98346,143.3003,253.5313,99.2079,,30,,,,,,,,90
Jessica Sánchez,,,worldwide,Women,22608,worldwide,open,205,155,225,105,,,,,,442,219,768,1770,
Daren Sok,CrossFit Urban Jungle,,worldwide,Men,22617,worldwide,open,425,315,455,255,,,,,,178,,,,
Mahmoud Kamal,,,worldwide,Men,22620,worldwide,open,400,255,405,195,,,,,,314,260,,1620,
Konrad Schubert,CrossFit Leipzig,,worldwide,Men,22626,worldwide,open,352.7392,286.6006,440.924,220.462,,,,,,,,,,
Katlin Gray,CrossFit TNT,,worldwide,Women,22628,worldwide,open,250,195,300,130,,,,,,,,,,
Émile Chateauvert,,,worldwide,Men,22636,worldwide,open,315,245,350,175,,,,,,,,,,
Emily Kerins,CrossFit Reva,,worldwide,Women,22666,worldwide,open,215,165,295,120,,,,,,,,,,95
Cody McGreevy,CrossFit Reconstructed,,worldwide,Men,22690,worldwide,open,,285,,,,,,,,226,191,485,,
Peter Ivanov,CrossFit Serdika,,worldwide,Men,22696,worldwide,open,379.19464,275.5775,440.924,209.4389,,30,,,1562,165,126,525,1245,52
Brian Cucchi,CrossFit CLT,,worldwide,Men,22706,worldwide,open,385,290,435,245,,42,,,,188,,,,
Krystal Leon,CrossFit LYFE,,worldwide,Women,22708,worldwide,open,235,165,235,120,,,,,,,,,,
Neal Goodwin,On The End CrossFit,,worldwide,Men,22710,worldwide,open,365,265,415,185,320,,,,,195,160,517,1260,53
Rafael Vergara,Crossfit Invictus 202,,worldwide,Men,22713,worldwide,open,315,205,375,135,,,,,,,,,,
Giovanni Bruni,CrossFit Lugano,,worldwide,Men,22720,worldwide,open,,,,,,,,,,170,,,1250,
Brandon Robaina,CrossFit Total Control,,worldwide,Men,22729,worldwide,open,365,265,435,205,,35,,,,170,155,,,
Armando Salazar,CrossFit Yellow Falcon,,worldwide,Men,22760,worldwide,open,335,235,405,,,50,,,,,,,1425,
Emily Jacks,CrossFit Mockingbird,,worldwide,Women,22765,worldwide,open,155,,,,,,,,,,,,,
Lucy Koshewa,CrossFit Industrious,,worldwide,Women,22765,worldwide,open,235,175,285,105,,,,,,,220,,1170,
Quinton Gowler,Prairie CrossFit,,worldwide,Men,22770,worldwide,open,355,305,425,230,,20,,,,,,,1470,
Ronald Reyes,NEPA CrossFit,,worldwide,Men,22782,worldwide,open,395,,455,,,,,,,,,,,
Hector Morales,Amsi CrossFit,,worldwide,Men,22784,worldwide,open,345,260,385,200,,,,,,238,,,,
Adam Fisher,CrossFit Alcides,,worldwide,Men,22789,worldwide,open,250,225,350,165,,,,,,,,,1270,
Allen John,Diablo CrossFit,,worldwide,Men,22795,worldwide,open,485,330,570,265,351,45,,,,172,,,1052,58
Michel de Laroche,Pack Life CrossFit Sandton,,worldwide,Men,22796,worldwide,open,,,,,,,,,,,,,1486,
Tyler Jordan,CrossFit DNR,,worldwide,Men,22798,worldwide,open,365,245,425,205,,50,,,,184,,,1270,50
Christina Fischer,Lifters CrossFit,,worldwide,Women,22802,worldwide,open,,165.3465,242.5082,119.04948,,,,,,,,,,
Moses Williams,Tulalip Bay CrossFit,,worldwide,Men,22817,worldwide,open,315,195,385,185,,,,,,334,275,,,
Glen De Waal,CrossFit Punt Uit 2,,worldwide,Men,22834,worldwide,open,352.7392,275.5775,507.0626,209.4389,,32,,,,,,,,
Rob Doretti,CrossFit Wynkoop,,worldwide,Men,22867,worldwide,open,435,295,500,210,,,,,,129,117,,,
Florent Doradoux,CrossFit Cenabum,,worldwide,Men,22870,worldwide,open,396.8316,297.6237,529.1088,242.5082,,,,,,,,,1200,
Shane Bertalott,CrossFit Believe,,worldwide,Men,22872,worldwide,open,315,245,475,,,,,,,201,,,,
Daniel Roberts,CrossFit HSC,,worldwide,Men,22883,worldwide,open,380,250,385,205,,,,,,,,,,
Ron Hemmerling,CrossFit FL,,worldwide,Men,22889,worldwide,open,352.7392,,,202.82504,,,,,,,133,,1400,
Jennie Schnelting,St. Peters CrossFit,,worldwide,Women,22891,worldwide,open,217,,235,125,,,,,,,,,,
Maria Lilian Coba Palomino,,,worldwide,Women,22905,worldwide,open,220,165,245,135,,,,,,,,,,
Nicole Wallace,CrossFit Roseland,,worldwide,Women,22911,worldwide,open,165,145,220,95,,,,,,,,,,
Loïc Dumery,CrossFit Saint Simon,,worldwide,Men,22915,worldwide,open,374.7854,286.6006,462.9702,198.4158,,,,,,,,,,
Oliver Richmann,,,worldwide,Men,22920,worldwide,open,440.924,264.5544,551.155,,,,,,,221,,,1182,
Josh Krobot,Man Made CrossFit,,worldwide,Men,22922,worldwide,open,475,330,530,265,,,,,,,,,,
Carter Shimbashi,Campus CrossFit,,worldwide,Men,22935,worldwide,open,420,295,485,230,333,,,,1410,142,,,,
Alejandro Bellido Redon,CrossFit San Lorenzo de El Escorial,,worldwide,Men,22961,worldwide,open,308.6468,242.5082,407.8547,182.98346,,55,,,,210,149,,1427,67
Courtney Ashworth,,,worldwide,Women,23018,worldwide,open,205,155,245,117,,,,,,,,,,
Andy Tavelli,CrossFit Pallas,,worldwide,Men,23031,worldwide,open,,245,,,,,,,,182,,,,
Emily Knapp,CrossFit Loop,,worldwide,Women,23036,worldwide,open,355,245,405,195,,,,,,185,96,530,,69
Stephanie Santana,CrossFit Arsenal,,worldwide,Women,23045,worldwide,open,250,,,,,,,,,,,,,
Ben Anderson,CrossFit Sweet Track,,worldwide,Men,23046,worldwide,open,407.8547,297.6237,462.9702,231.4851,,36,,,,275,321,,,
Morgan VanDenBerg,CrossFit Torrent,,worldwide,Women,23053,worldwide,open,255,225,310,165,273,30,,,,236,144,633,,
Josh Swart,CrossFit Cabarrus,,worldwide,Men,23062,worldwide,open,407,300,440,253,,51,,,,173,173,579,,
Han SooJung,,,worldwide,Men,23075,worldwide,open,385,270,385,225,387,1,,,,268,173,,,
